Identifier,Fish ID,Feed,Position,Replicates,Fish_Type,Lipid_%,C4:0,C6:0,C8:0,C10:0,C11:0,C12:0,C14:0,C14:1,C15:0,C15:1,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1n9c,C18:1n9t,C18:2n6t,C18:2n6c,C18:3n6c,C18:3n3c,C20:0,C20:1n9,C20:2,C20:3n6,C20:4n6,C21:0,C20:3n3,C20:5n3,C22:0,C22:1n9,C22:2,C23:0,DPA,C22:6n3,C24:0,C24:1n9
S01_NQC1_R1,S01,A,NQC1,R1,Small,5.94,0,0,0,0,0,0,2.005260623,0,0,0.194800473,9.857811138,2.186168306,0.248724129,0.276560878,2.533455935,37.87903406,2.333623016,0,12.607398,0.142344771,5.479348548,0.286836671,3.240452523,1.280057602,0.262865596,0.39730347,0.581950868,0.815275729,3.568902105,0.117356741,1.535164156,0.275871927,0.236256636,1.659362205,6.979923684,0,0.338544114
S01_NQC1_R2,S01,A,NQC1,R2,Small,6.71,0,0.073811069,0,0,0,0.054366601,1.935274365,0.047522191,0.08378688,0.237484764,10.09057456,2.14684635,0.246651869,0.282723629,2.809222256,37.22865814,2.252561344,0.089444449,12.40283659,0.129055132,5.351688321,0.289209208,3.299569832,1.243953024,0.242619873,0.432128094,0.564103734,0.824940999,3.452910475,0.117339557,1.563852142,0.269512378,0.249140862,1.691384456,7.080690221,0,0.340165293
S01_NQC1_R3,S01,A,NQC1,R3,Small,7.1,0.086041109,0.078661446,0,0.058138044,0.056528581,0.054789745,2.155472836,0.054743118,0.072525212,0.219424559,10.67473946,2.443044943,0.275235598,0.311136517,2.779746571,34.23913785,1.899744947,0.100533165,13.68961134,0.124801898,5.887113499,0.330837042,3.493241583,1.233998104,0.21955141,0.417338363,0.597343223,0.832064623,3.600726929,0.120103035,1.731371816,0.279007435,0.251593021,1.447952513,7.120481714,0.043447553,0.28075383
S01_NQC2_R1,S01,A,NQC2,R1,Small,8.01,0,0.099455835,0,0,0,0.059565262,2.01237889,0.051170162,0.111032001,0.246857821,9.904151287,2.214836989,0.250841156,0.289902931,2.712240662,38.06480878,2.316874176,0.090586177,12.76625828,0.130362,5.455007463,0.287872592,3.304068683,1.197423123,0.251362261,0.374371861,0.570857438,0.839766689,3.335870596,0.115647479,1.549506562,0.274055023,0.228214382,1.699120236,6.325069295,0,0.310167333
S01_NQC2_R2,S01,A,NQC2,R2,Small,5.15,0.225343929,0.147938909,0.090662809,0.099469205,0.091646602,0.227424897,1.925668757,0,0,0.266315802,10.58083591,2.099359809,0.24808851,0.296793612,2.583133982,35.25695186,2.373906496,0.081695338,11.63722242,0.112884907,5.052158815,0.320622053,3.070145373,1.193533751,0.25725775,0.558607762,0.566400806,0.842512175,4.116809668,0.111310081,1.540636997,0.255453828,0.290193037,1.493646458,8.50833638,0,0.453541423
S01_NQC2_R3,S01,A,NQC2,R3,Small,14.21,0.193915408,0.057828393,0,0,0,0.050292737,2.249343399,0.053147573,0.06925477,0.21001244,10.43287081,2.524181847,0.286607009,0.303638477,0.658576425,35.89889167,1.925929929,0.096710403,14.37614573,0.137220989,6.098276323,0.331138891,3.991126176,1.341927778,0.236028572,0.346837163,0.642352425,0.898922213,3.462151908,0.130016951,1.805580932,0.303509404,0.235328322,1.663046833,5.830325036,0.0395068,0.343876784
S01_F2_R1,S01,A,F2,R1,Small,14.5,0.061317952,0,0,0,0,0.040107703,2.288990528,0.084937393,0.194205952,0.081081592,10.76099601,2.480626853,0.222030804,0.15758043,3.302874787,34.89591703,2.066990991,0.112730512,14.13003886,0.220709617,5.967387363,0.291829703,3.741645036,1.257228813,0.235862694,0.347065273,0.616749803,0.872393557,3.490038594,0.115022301,1.606733176,0.103457742,0.210511953,1.644153327,5.800785261,0,0.296090191
S01_F2_R2,S01,A,F2,R2,Small,10.58,0,0.058638395,0,0,0,0.052710867,2.091222868,0.046305539,0.074146521,0.225095874,9.881304376,2.265517893,0.265983032,0.298301141,2.77222303,37.55344454,2.168497762,0.082737164,13.21190992,0.130399211,5.720449545,0.287365094,3.323724509,1.237666148,0.243802069,0.364723556,0.56941891,0.866415209,3.377364448,0.121259635,1.540712808,0.273842541,0.218148693,1.673720593,5.835941871,0.034649953,0.312074117
S01_F2_R3,S01,A,F2,R3,Small,13.2,0.0640882,0,0,0,0.040713298,0.045043749,2.301933153,0.090078334,0.193298951,0.088431393,10.26034927,2.547778851,0.227079241,0.136408451,3.388954838,34.29235645,1.969550013,0.121153289,14.65124294,0.225203856,6.156818494,0.28728652,3.859758311,1.290813891,0.245671478,0.331590095,0.629426275,0.900110227,3.506089873,0.117771957,1.679061419,0.110855558,0.209296603,1.671001209,5.563417803,0,0.26236128
S01_H_R1,S01,A,H,R1,Small,4.85,0,0,0,0,0,0,1.699829636,0,0.175144803,0.293750063,10.54673617,1.905870474,0.166281071,0,2.734489944,35.13977309,2.330213848,0.116890411,11.45058306,0.1811374,5.058946798,0.25238607,3.076998338,1.146351384,0.267517439,0.612611183,0.550355937,0.873844102,4.715648418,0.099057295,1.406918302,0.100935893,0.294843181,1.938499252,10.66604926,0,0.347811753
